username,repo_name,stars,repo_url
sindresorhus,awesome,175000,https://www.github.com/sindresorhus/awesome
vinta,awesome-python,107000,https://www.github.com/vinta/awesome-python
avelino,awesome-go,70700,https://www.github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,67900,https://www.github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,52800,https://www.github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,50000,https://www.github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,48300,https://www.github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,47600,https://www.github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,46100,https://www.github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,44100,https://www.github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,43000,https://www.github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,41600,https://www.github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,38600,https://www.github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,38500,https://www.github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,38200,https://www.github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,36400,https://www.github.com/binhnguyennus/awesome-scalability
MunGell,awesome-for-beginners,36300,https://www.github.com/MunGell/awesome-for-beginners
fffaraz,awesome-cpp,34600,https://www.github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33500,https://www.github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,32800,https://www.github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,30600,https://www.github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,28600,https://www.github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,28600,https://www.github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,28400,https://www.github.com/brillout/awesome-react-components
ziadoz,awesome-php,25900,https://www.github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25600,https://www.github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23600,https://www.github.com/goabstract/Awesome-Design-Tools
rust-unofficial,awesome-rust,22600,https://www.github.com/rust-unofficial/awesome-rust
alebcay,awesome-shell,22400,https://www.github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22100,https://www.github.com/sindresorhus/awesome-electron
